food_sg_233,empower_food_names,empower_food_alt_names
Alcoholic Beverage,"[{""name"": ""sweetened beverage creamer"", ""id"": 1021, ""similarity"": 0.25}, {""name"": ""black pearl cereal beverage"", ""id"": 1609, ""similarity"": 0.2}, {""name"": ""low alcohol beer / non alcoholic"", ""id"": 1539, ""similarity"": 0.14285714285714285}]",[]
Apple,"[{""name"": ""apple"", ""id"": 198, ""similarity"": 1.0}, {""name"": ""apple"", ""id"": 322, ""similarity"": 1.0}, {""name"": ""apple"", ""id"": 368, ""similarity"": 1.0}, {""name"": ""apple"", ""id"": 641, ""similarity"": 1.0}, {""name"": ""apple"", ""id"": 1330, ""similarity"": 1.0}, {""name"": ""apple"", ""id"": 1730, ""similarity"": 1.0}, {""name"": ""apple"", ""id"": 1922, ""similarity"": 1.0}, {""name"": ""green apple"", ""id"": 7, ""similarity"": 0.5}, {""name"": ""apple pie"", ""id"": 107, ""similarity"": 0.5}, {""name"": ""apple juice"", ""id"": 137, ""similarity"": 0.5}, {""name"": ""apple crumble"", ""id"": 989, ""similarity"": 0.5}, {""name"": ""apple strudel"", ""id"": 990, ""similarity"": 0.5}, {""name"": ""custard apple"", ""id"": 1679, ""similarity"": 0.5}, {""name"": ""water apple"", ""id"": 1688, ""similarity"": 0.5}, {""name"": ""apple juice drink"", ""id"": 2, ""similarity"": 0.3333333333333333}, {""name"": ""fresh apple juice"", ""id"": 459, ""similarity"": 0.3333333333333333}, {""name"": ""apple juice drink"", ""id"": 1866, ""similarity"": 0.3333333333333333}, {""name"": ""canned in apple juice"", ""id"": 1270, ""similarity"": 0.25}, {""name"": ""apple dippers with caramel sauce"", ""id"": 1566, ""similarity"": 0.2}]","[{""name"": ""apple"", ""id"": 322, ""similarity"": 1.0}, {""name"": ""apple"", ""id"": 1922, ""similarity"": 1.0}, {""name"": ""apple juice drink"", ""id"": 2, ""similarity"": 0.3333333333333333}, {""name"": ""100% apple juice"", ""id"": 137, ""similarity"": 0.3333333333333333}, {""name"": ""freshly squeezed apple juice"", ""id"": 459, ""similarity"": 0.25}, {""name"": ""buah nona; sweetsop; sugar apple"", ""id"": 1679, ""similarity"": 0.2}, {""name"": ""java apple; rose apple; makopa; wax apple"", ""id"": 1748, ""similarity"": 0.16666666666666666}]"
Apricot,"[{""name"": ""apricot"", ""id"": 126, ""similarity"": 1.0}, {""name"": ""apricot"", ""id"": 256, ""similarity"": 1.0}, {""name"": ""apricot"", ""id"": 323, ""similarity"": 1.0}, {""name"": ""apricot"", ""id"": 369, ""similarity"": 1.0}, {""name"": ""apricot"", ""id"": 642, ""similarity"": 1.0}, {""name"": ""apricot"", ""id"": 1601, ""similarity"": 1.0}, {""name"": ""apricot"", ""id"": 1626, ""similarity"": 1.0}, {""name"": ""apricot"", ""id"": 3660, ""similarity"": 1.0}, {""name"": ""apricot nectar juice drink"", ""id"": 394, ""similarity"": 0.25}]","[{""name"": ""apricot conserve"", ""id"": 2905, ""similarity"": 0.5}]"
Avocados,"[{""name"": ""avocados"", ""id"": 707, ""similarity"": 1.0}]",[]
Ban Mian,"[{""name"": ""ban mian"", ""id"": 1143, ""similarity"": 1.0}, {""name"": ""dry ban mian"", ""id"": 87, ""similarity"": 0.6666666666666666}, {""name"": ""dumpling ban mian"", ""id"": 153, ""similarity"": 0.6666666666666666}, {""name"": ""ban mian soup"", ""id"": 1603, ""similarity"": 0.6666666666666666}, {""name"": ""seafood tom yum ban mian"", ""id"": 1560, ""similarity"": 0.4}, {""name"": ""fish head ban mian soup"", ""id"": 3396, ""similarity"": 0.4}, {""name"": ""dan dan mian"", ""id"": 2081, ""similarity"": 0.3333333333333333}, {""name"": ""suan la mian"", ""id"": 103, ""similarity"": 0.25}, {""name"": ""dao xiao mian"", ""id"": 736, ""similarity"": 0.25}, {""name"": ""chao sheng mian"", ""id"": 2460, ""similarity"": 0.25}, {""name"": ""xiao wan mian"", ""id"": 3019, ""similarity"": 0.25}, {""name"": ""xiao wan mian"", ""id"": 3557, ""similarity"": 0.25}, {""name"": ""zha jiang mian"", ""id"": 3558, ""similarity"": 0.25}, {""name"": ""xiao wan mian soup with seafood"", ""id"": 2723, ""similarity"": 0.14285714285714285}]","[{""name"": ""ban mian"", ""id"": 1143, ""similarity"": 1.0}, {""name"": ""ban mian"", ""id"": 1560, ""similarity"": 1.0}, {""name"": ""ban mian"", ""id"": 1603, ""similarity"": 1.0}, {""name"": ""fish head ban mian"", ""id"": 3396, ""similarity"": 0.5}, {""name"": ""po cai mian"", ""id"": 166, ""similarity"": 0.25}, {""name"": ""yun tun mian gan"", ""id"": 2719, ""similarity"": 0.2}, {""name"": ""yun tun mian tang;"", ""id"": 2968, ""similarity"": 0.2}, {""name"": ""dou ban la jiang"", ""id"": 3515, ""similarity"": 0.2}, {""name"": ""kerapu; hei hou; hak ban"", ""id"": 547, ""similarity"": 0.16666666666666666}, {""name"": ""xiao wan mian noodle soup"", ""id"": 3557, ""similarity"": 0.16666666666666666}, {""name"": ""xia mian gan; hei mee da"", ""id"": 2228, ""similarity"": 0.14285714285714285}, {""name"": ""xia mian tang; hei mee teng"", ""id"": 2446, ""similarity"": 0.14285714285714285}, {""name"": ""dry fish ball noodles; yu yuan mian gan"", ""id"": 2407, ""similarity"": 0.1111111111111111}, {""name"": ""fish ball noodles soup; yu yuan mian tang"", ""id"": 3324, ""similarity"": 0.1111111111111111}]"
Barley,"[{""name"": ""barley"", ""id"": 269, ""similarity"": 1.0}, {""name"": ""barley water"", ""id"": 997, ""similarity"": 0.5}, {""name"": ""roasted barley tea"", ""id"": 16, ""similarity"": 0.3333333333333333}, {""name"": ""china pearl barley"", ""id"": 733, ""similarity"": 0.3333333333333333}]","[{""name"": ""barley (infusion)"", ""id"": 16, ""similarity"": 0.5}]"
"Bee hoon, goreng","[{""name"": ""raw bee hoon"", ""id"": 511, ""similarity"": 0.6666666666666666}, {""name"": ""bee hoon soto"", ""id"": 1262, ""similarity"": 0.6666666666666666}, {""name"": ""bee hoon soup"", ""id"": 1853, ""similarity"": 0.6666666666666666}, {""name"": ""satay bee hoon"", ""id"": 2692, ""similarity"": 0.6666666666666666}, {""name"": ""fried bee hoon"", ""id"": 3269, ""similarity"": 0.6666666666666666}, {""name"": ""brown rice bee hoon"", ""id"": 23, ""similarity"": 0.5}, {""name"": ""sliced fish bee hoon"", ""id"": 165, ""similarity"": 0.5}, {""name"": ""fish head bee hoon"", ""id"": 2025, ""similarity"": 0.5}, {""name"": ""mee goreng"", ""id"": 2173, ""similarity"": 0.5}, {""name"": ""lontong goreng"", ""id"": 2354, ""similarity"": 0.5}, {""name"": ""seafood bee hoon soup"", ""id"": 2695, ""similarity"": 0.5}, {""name"": ""vegetarian fried bee hoon"", ""id"": 2890, ""similarity"": 0.5}, {""name"": ""paru goreng"", ""id"": 3218, ""similarity"": 0.5}, {""name"": ""economic fried bee hoon"", ""id"": 3267, ""similarity"": 0.5}, {""name"": ""nasi goreng"", ""id"": 3287, ""similarity"": 0.5}, {""name"": ""fried vegetarian bee hoon"", ""id"": 3470, ""similarity"": 0.5}, {""name"": ""beehoon goreng"", ""id"": 3521, ""similarity"": 0.5}, {""name"": ""tauhu goreng"", ""id"": 3550, ""similarity"": 0.5}, {""name"": ""mee goreng"", ""id"": 3697, ""similarity"": 0.5}, {""name"": ""fish bee hoon without milk"", ""id"": 2469, ""similarity"": 0.4}, {""name"": ""indian style bee hoon goreng"", ""id"": 2606, ""similarity"": 0.4}, {""name"": ""sliced fish bee hoon with milk"", ""id"": 235, ""similarity"": 0.3333333333333333}, {""name"": ""tang hoon"", ""id"": 348, ""similarity"": 0.3333333333333333}, {""name"": ""nasi goreng mix"", ""id"": 1448, ""similarity"": 0.3333333333333333}, {""name"": ""mee goreng (2018)"", ""id"": 1887, ""similarity"": 0.3333333333333333}, {""name"": ""nasi goreng sayur"", ""id"": 2274, ""similarity"": 0.3333333333333333}, {""name"": ""daging kambing goreng"", ""id"": 2532, ""similarity"": 0.3333333333333333}, {""name"": ""hoon kuih"", ""id"": 2544, ""similarity"": 0.3333333333333333}, {""name"": ""kway teow goreng"", ""id"": 3210, ""similarity"": 0.3333333333333333}, {""name"": ""hoon kueh"", ""id"": 3474, ""similarity"": 0.3333333333333333}, {""name"": ""fried bee hoon with chicken and egg"", ""id"": 2473, ""similarity"": 0.2857142857142857}, {""name"": ""fried tang hoon"", ""id"": 2158, ""similarity"": 0.25}, {""name"": ""deep fried fish bee hoon soup with milk"", ""id"": 2220, ""similarity"": 0.25}, {""name"": ""indian style bee hoon goreng"", ""id"": 2606, ""similarity"": 0.2}, {""name"": ""with fuchok and tang hoon"", ""id"": 2831, ""similarity"": 0.16666666666666666}, {""name"": ""fish ball tang hoon soup"", ""id"": 3022, ""similarity"": 0.16666666666666666}, {""name"": ""tang hoon and dried shrimp"", ""id"": 3333, ""similarity"": 0.16666666666666666}, {""name"": ""stir fried mixed vegetables with tang hoon"", ""id"": 3680, ""similarity"": 0.125}, {""name"": ""stir fried cabbage with tang hoon and dried prawn"", ""id"": 3035, ""similarity"": 0.1}]","[{""name"": ""goreng"", ""id"": 2269, ""similarity"": 1.0}, {""name"": ""goreng"", ""id"": 2606, ""similarity"": 1.0}, {""name"": ""goreng"", ""id"": 3521, ""similarity"": 1.0}, {""name"": ""satay bee hoon"", ""id"": 2692, ""similarity"": 0.6666666666666666}, {""name"": ""fried; bee hoon"", ""id"": 2890, ""similarity"": 0.6666666666666666}, {""name"": ""fried bee hoon"", ""id"": 3269, ""similarity"": 0.6666666666666666}, {""name"": ""pisang goreng"", ""id"": 1255, ""similarity"": 0.5}, {""name"": ""sambal goreng"", ""id"": 2521, ""similarity"": 0.5}, {""name"": ""seafood bee hoon soup"", ""id"": 2695, ""similarity"": 0.5}, {""name"": ""goreng bergaram"", ""id"": 2948, ""similarity"": 0.5}, {""name"": ""bee"", ""id"": 3071, ""similarity"": 0.5}, {""name"": ""bawang goreng"", ""id"": 3260, ""similarity"": 0.5}, {""name"": ""bee hoon soto; bihun soto"", ""id"": 1262, ""similarity"": 0.4}, {""name"": ""plain; fried vegetarian bee hoon"", ""id"": 3470, ""similarity"": 0.4}, {""name"": ""ayam goreng assam"", ""id"": 1091, ""similarity"": 0.3333333333333333}, {""name"": ""with cuttlefish and kangkong; bee hoon"", ""id"": 1327, ""similarity"": 0.3333333333333333}, {""name"": ""bee hoon soup; bihun soup beehoon"", ""id"": 1853, ""similarity"": 0.3333333333333333}, {""name"": ""ikan tenggiri goreng"", ""id"": 2020, ""similarity"": 0.3333333333333333}, {""name"": ""udang goreng berempah"", ""id"": 2358, ""similarity"": 0.3333333333333333}, {""name"": ""sambal goreng udang"", ""id"": 2635, ""similarity"": 0.3333333333333333}, {""name"": ""goreng daging lembu"", ""id"": 2736, ""similarity"": 0.3333333333333333}, {""name"": ""peria goreng telur"", ""id"": 2883, ""similarity"": 0.3333333333333333}, {""name"": ""ikan sembilang goreng"", ""id"": 2899, ""similarity"": 0.3333333333333333}, {""name"": ""tau kua goreng"", ""id"": 3026, ""similarity"": 0.3333333333333333}, {""name"": ""bawal goreng berkuah"", ""id"": 3198, ""similarity"": 0.3333333333333333}, {""name"": ""taugeh goreng tauhu"", ""id"": 3241, ""similarity"": 0.3333333333333333}, {""name"": ""hoon kuih"", ""id"": 3474, ""similarity"": 0.3333333333333333}, {""name"": ""nasi goreng paprik"", ""id"": 3496, ""similarity"": 0.3333333333333333}, {""name"": ""tempeh goreng sambal"", ""id"": 3601, ""similarity"": 0.3333333333333333}, {""name"": ""fish head bee hoon soup; fish head bihun soup"", ""id"": 2025, ""similarity"": 0.2857142857142857}, {""name"": ""bee tai mak"", ""id"": 230, ""similarity"": 0.25}, {""name"": ""kacang panjang goreng taucheo"", ""id"": 2668, ""similarity"": 0.25}, {""name"": ""ikan merah goreng berlada"", ""id"": 2769, ""similarity"": 0.25}, {""name"": ""ikan haruan kering goreng"", ""id"": 2935, ""similarity"": 0.25}, {""name"": ""ikan tenggiri goreng berlada"", ""id"": 2983, ""similarity"": 0.25}, {""name"": ""ikan bawal hitam goreng"", ""id"": 3029, ""similarity"": 0.25}, {""name"": ""ikan cincaru goreng berlada"", ""id"": 3068, ""similarity"": 0.25}, {""name"": ""ikan kerisi goreng berlada"", ""id"": 3073, ""similarity"": 0.25}, {""name"": ""ikan tilapia goreng berlada"", ""id"": 3157, ""similarity"": 0.25}, {""name"": ""ikan kembong goreng berlada"", ""id"": 3615, ""similarity"": 0.25}, {""name"": ""eng-cai hei bee hiam"", ""id"": 2304, ""similarity"": 0.2}, {""name"": ""tauge goreng dengan rencah udang"", ""id"": 2328, ""similarity"": 0.2}, {""name"": ""ikan bawal hitam goreng berlada"", ""id"": 3030, ""similarity"": 0.2}, {""name"": ""raw bee hoon; raw bihun; rice vermicelli"", ""id"": 511, ""similarity"": 0.14285714285714285}, {""name"": ""hou- yau choy sum; sawi goreng sos tiram; hau-yu cai-xin"", ""id"": 3424, ""similarity"": 0.1}, {""name"": ""hei bee har mei chau sei -twai-tau si ji dou chau"", ""id"": 2788, ""similarity"": 0.09090909090909091}]"
"Bee hoon, soto","[{""name"": ""raw bee hoon"", ""id"": 511, ""similarity"": 0.6666666666666666}, {""name"": ""bee hoon soto"", ""id"": 1262, ""similarity"": 0.6666666666666666}, {""name"": ""bee hoon soup"", ""id"": 1853, ""similarity"": 0.6666666666666666}, {""name"": ""satay bee hoon"", ""id"": 2692, ""similarity"": 0.6666666666666666}, {""name"": ""fried bee hoon"", ""id"": 3269, ""similarity"": 0.6666666666666666}, {""name"": ""brown rice bee hoon"", ""id"": 23, ""similarity"": 0.5}, {""name"": ""sliced fish bee hoon"", ""id"": 165, ""similarity"": 0.5}, {""name"": ""fish head bee hoon"", ""id"": 2025, ""similarity"": 0.5}, {""name"": ""mee soto"", ""id"": 2428, ""similarity"": 0.5}, {""name"": ""seafood bee hoon soup"", ""id"": 2695, ""similarity"": 0.5}, {""name"": ""vegetarian fried bee hoon"", ""id"": 2890, ""similarity"": 0.5}, {""name"": ""economic fried bee hoon"", ""id"": 3267, ""similarity"": 0.5}, {""name"": ""soto ayam"", ""id"": 3421, ""similarity"": 0.5}, {""name"": ""fried vegetarian bee hoon"", ""id"": 3470, ""similarity"": 0.5}, {""name"": ""fish bee hoon without milk"", ""id"": 2469, ""similarity"": 0.4}, {""name"": ""indian style bee hoon goreng"", ""id"": 2606, ""similarity"": 0.4}, {""name"": ""sliced fish bee hoon with milk"", ""id"": 235, ""similarity"": 0.3333333333333333}, {""name"": ""tang hoon"", ""id"": 348, ""similarity"": 0.3333333333333333}, {""name"": ""bee hoon soto"", ""id"": 1262, ""similarity"": 0.3333333333333333}, {""name"": ""hoon kuih"", ""id"": 2544, ""similarity"": 0.3333333333333333}, {""name"": ""hoon kueh"", ""id"": 3474, ""similarity"": 0.3333333333333333}, {""name"": ""fried bee hoon with chicken and egg"", ""id"": 2473, ""similarity"": 0.2857142857142857}, {""name"": ""fried tang hoon"", ""id"": 2158, ""similarity"": 0.25}, {""name"": ""deep fried fish bee hoon soup with milk"", ""id"": 2220, ""similarity"": 0.25}, {""name"": ""with fuchok and tang hoon"", ""id"": 2831, ""similarity"": 0.16666666666666666}, {""name"": ""fish ball tang hoon soup"", ""id"": 3022, ""similarity"": 0.16666666666666666}, {""name"": ""tang hoon and dried shrimp"", ""id"": 3333, ""similarity"": 0.16666666666666666}, {""name"": ""stir fried mixed vegetables with tang hoon"", ""id"": 3680, ""similarity"": 0.125}, {""name"": ""stir fried cabbage with tang hoon and dried prawn"", ""id"": 3035, ""similarity"": 0.1}]","[{""name"": ""satay bee hoon"", ""id"": 2692, ""similarity"": 0.6666666666666666}, {""name"": ""fried; bee hoon"", ""id"": 2890, ""similarity"": 0.6666666666666666}, {""name"": ""fried bee hoon"", ""id"": 3269, ""similarity"": 0.6666666666666666}, {""name"": ""mee soto"", ""id"": 2428, ""similarity"": 0.5}, {""name"": ""seafood bee hoon soup"", ""id"": 2695, ""similarity"": 0.5}, {""name"": ""bee"", ""id"": 3071, ""similarity"": 0.5}, {""name"": ""chicken soto"", ""id"": 3421, ""similarity"": 0.5}, {""name"": ""bee hoon soto; bihun soto"", ""id"": 1262, ""similarity"": 0.4}, {""name"": ""plain; fried vegetarian bee hoon"", ""id"": 3470, ""similarity"": 0.4}, {""name"": ""with cuttlefish and kangkong; bee hoon"", ""id"": 1327, ""similarity"": 0.3333333333333333}, {""name"": ""bee hoon soup; bihun soup beehoon"", ""id"": 1853, ""similarity"": 0.3333333333333333}, {""name"": ""hoon kuih"", ""id"": 3474, ""similarity"": 0.3333333333333333}, {""name"": ""fish head bee hoon soup; fish head bihun soup"", ""id"": 2025, ""similarity"": 0.2857142857142857}, {""name"": ""bee tai mak"", ""id"": 230, ""similarity"": 0.25}, {""name"": ""bee hoon soto; bihun soto"", ""id"": 1262, ""similarity"": 0.2}, {""name"": ""eng-cai hei bee hiam"", ""id"": 2304, ""similarity"": 0.2}, {""name"": ""raw bee hoon; raw bihun; rice vermicelli"", ""id"": 511, ""similarity"": 0.14285714285714285}, {""name"": ""hei bee har mei chau sei -twai-tau si ji dou chau"", ""id"": 2788, ""similarity"": 0.09090909090909091}]"
Bibimbap,"[{""name"": ""bibimbap"", ""id"": 1608, ""similarity"": 1.0}, {""name"": ""cj korean bibimbap sauce"", ""id"": 1977, ""similarity"": 0.25}]","[{""name"": ""bibimbap"", ""id"": 1608, ""similarity"": 1.0}]"
Blackberry,"[{""name"": ""blackberry"", ""id"": 578, ""similarity"": 1.0}, {""name"": ""blackberry"", ""id"": 708, ""similarity"": 1.0}]",[]
