Filename,True,Prediction
Alcoholic Beverage/F67TE428C6B4PPEZWSKCXXQU.jpg,Alcoholic Beverage,Fruit juice
Alcoholic Beverage/UP88BZSC7YTQZR67Y6Y4RF9I.jpg,Alcoholic Beverage,Fruit juice
Apple/3SIKRP4X6PI6ED0751C5BAJF.jpg,Apple,cherries
Apple/GKCAXYEKBMNGYVWMW90MTIR6.jpg,Apple,mangosteen
Apple/HLVA4RY5ISI2RO2BQR95P1DJ.jpg,Apple,Fruit juice
Apple/LT9SFFVXC545U1WOL5Q3OOKY.jpg,Apple,cherries
Apple/XF5L07PXUI7XV29Q0IB913Y5.jpg,Apple,pomegranate
Apple/Y6ZDUGTHU14RM348JGEYCRO9.jpg,Apple,Nuts
Apricot/A0LRI740YQU830EZK5ULY64K.jpg,Apricot,Grapefruit
Apricot/IU4HL5UBDKWNSQPTQWAM9NHU.jpg,Apricot,preserved fruit snacks
Apricot/JMOJNQFWDN98VXXVTDS34WG5.jpg,Apricot,vadai
Apricot/KIMIC25S314054EQU9RSN2O9.jpg,Apricot,chicken masala
Apricot/Q7AMX91FN4U82PBD1179QANO.jpg,Apricot,ice cream - vanilla
Apricot/QA1379I9KNL3CMGD8ZU098SF.jpg,Apricot,Persimmon
Avocados/81IRLHRQ33X4BTGKGP64MF3X.jpg,Avocados,salad
Avocados/V2P28V421H53HITY8PHMOCYP.jpg,Avocados,chawanmushi
Ban Mian/1ZM7SHV3KSGA875VVXNUHON4.jpg,Ban Mian,Seafood Noodles Soup
Ban Mian/4IN0UYO7ES3P1KQN1JIICHCD.jpg,Ban Mian,Udon
Ban Mian/52J91EXW3K7P6S96GZUCJ972.jpg,Ban Mian,mee pok
Ban Mian/5CU3U2Q03HPB5C79C1Y3Y42L.jpg,Ban Mian,beef noodle soup
Ban Mian/ELYQ7LDGO8UY0W7HW1CU1JP6.jpg,Ban Mian,pig organ soup
Ban Mian/GZLIZ0PQ3J1VNHFHG7KDDTAA.jpg,Ban Mian,Seafood Noodles Soup
Ban Mian/K02MBCJNV6XWQLV85LBL0OKH.jpg,Ban Mian,satay bee hoon
Ban Mian/KUDNFRKIXMA0ZSCY8IUT9UKG.jpg,Ban Mian,"Chap chye, Nonya"
Ban Mian/LY3UVQHZYS06S7NLGTKY8O1C.jpg,Ban Mian,Dumpling noodle soup
Ban Mian/O6IB5P91ESO517NTUTIUIASV.jpg,Ban Mian,Udon
Ban Mian/PFY2MHETDVD73MR1LKDHOALJ.jpg,Ban Mian,Lor mee
Ban Mian/S14DJ7WUHM004HFOF9L63IDR.jpg,Ban Mian,Udon
Ban Mian/T175PLPOVGTQYA50O2T20A8J.jpg,Ban Mian,Dumpling noodle soup
Ban Mian/ZJHZ68HLWFVBYIO0XSW8NSQG.jpg,Ban Mian,beef noodle soup
Barley/4IMFP8ICG24PUSEVF7M4FQJ9.jpg,Barley,buckwheat
Barley/5NYC6WPJ4LIULR945I47N270.jpg,Barley,cooked white rice
Barley/6WWROOM4MEM9A6C1U77HFQ22.jpg,Barley,mixed vegetables
Barley/85VIYZTXKGSAT7NQOH8DJEJQ.jpg,Barley,buckwheat
Barley/9CMMZ5K4E766YBVZE9ZKD5JN.jpg,Barley,cooked brown rice
Barley/AN3LLMFMUZDMB8VIRBOL2QG5.jpg,Barley,"Pilaf, pea"
Barley/EDAR2G1K8T7LTHUEOT7D8EM5.jpg,Barley,salad
Barley/EZ6NSFOYLCASY668S1PUT0LF.jpg,Barley,cooked brown rice
Barley/H6PL4B22QAQ2UMQ562ACR50Y.jpg,Barley,buckwheat
Barley/QNC2V4VENCJXEQ4LR8JXX0X9.jpg,Barley,mixed grills
Barley/RFP5MWS3XTEM78F00WA378BK.jpg,Barley,buckwheat
Barley/S8TJIX7EC90SZZF7CL9AVK9M.jpg,Barley,seaweed snack
Barley/WUOYSMATCOSJNCAC15KXETF4.jpg,Barley,buckwheat
Barley/YLG0P723G06EXEVZF5B6T4K8.jpg,Barley,"Rice, korean bulgogi beef"
"Bee hoon, goreng/13ZO6OMFBI09LMQMOGQGNQXI.jpg","Bee hoon, goreng","Mee siam, fried"
"Bee hoon, goreng/4EAQZPWA3G15XXSGKTYT60YN.jpg","Bee hoon, goreng",vegetarian bee hoon
"Bee hoon, goreng/7DRSAS86YXC7ZFFQLH8YJIF1.jpg","Bee hoon, goreng",bee hoon
"Bee hoon, goreng/8TK1NE8MLPQMNQUCI8TG89IM.jpg","Bee hoon, goreng",Udon
"Bee hoon, goreng/AGBGFH2HVRSLWRE7GCXFOQMB.jpg","Bee hoon, goreng",mixed vegetables
"Bee hoon, goreng/B0YDGXIFBTRC6EL4EQMCMPDJ.jpg","Bee hoon, goreng",bee hoon
"Bee hoon, goreng/BRI4QDUZNC620DBOKZ4NNOYY.jpg","Bee hoon, goreng","Mee siam, fried"
"Bee hoon, goreng/BYWGXAK1EAT6FGACQ5IVE9CG.jpg","Bee hoon, goreng",yuseng
"Bee hoon, goreng/C6QZR7IPK2H3W2EMZETQGUAI.jpg","Bee hoon, goreng",bee hoon
"Bee hoon, goreng/DYQ0L9P0AVJV37XOA17UXKW7.jpg","Bee hoon, goreng",Fried Noodles
"Bee hoon, goreng/FDXUM5A76PUHU427OP1RRE6O.jpg","Bee hoon, goreng",bee hoon
